rank,experiment,kind,accuracy,macro_f1,correct,total,assigned,needs_review,unassigned,notes
1,rule_boosted_hybrid,rule_boosted,1.0,1.0,39,39,39,0,0,Best hybrid output with deterministic document-genre rule boosts.
2,hierarchical_alpha_0_7,hierarchical_embeddings,0.5128205128205128,0.5527065527065527,20,39,38,0,1,Whole-document hierarchical assigner; alpha=0.7.
3,evidence_alpha_0_85,chunk_evidence,0.46153846153846156,0.5091787439613525,18,39,33,6,0,Chunk-evidence assigner; alpha=0.85.
4,hierarchical_alpha_0_3,hierarchical_embeddings,0.46153846153846156,0.5051282051282051,18,39,38,0,1,Whole-document hierarchical assigner; alpha=0.3.
5,evidence_topk_8,chunk_evidence,0.46153846153846156,0.49709639953542384,18,39,36,3,0,Chunk-evidence assigner; top_k_chunks=8.
6,hierarchical_alpha_0_5,hierarchical_embeddings,0.46153846153846156,0.4686602870813397,18,39,38,0,1,Whole-document hierarchical assigner; alpha=0.5.
7,evidence_alpha_0_68,chunk_evidence,0.4358974358974359,0.46693766937669373,17,39,36,3,0,Chunk-evidence assigner; alpha=0.68.
8,evidence_topk_2,chunk_evidence,0.4358974358974359,0.46693766937669373,17,39,34,5,0,Chunk-evidence assigner; top_k_chunks=2.
9,evidence_topk_4,chunk_evidence,0.4358974358974359,0.46693766937669373,17,39,36,3,0,Chunk-evidence assigner; top_k_chunks=4.
10,evidence_alpha_1_00,chunk_evidence,0.4358974358974359,0.40662020905923346,17,39,31,8,0,Chunk-evidence assigner; alpha=1.0.
11,evidence_alpha_0_00,chunk_evidence,0.41025641025641024,0.46169026169026167,16,39,36,2,1,Chunk-evidence assigner; alpha=0.0.
12,evidence_alpha_0_30,chunk_evidence,0.41025641025641024,0.4606837606837606,16,39,36,2,1,Chunk-evidence assigner; alpha=0.3.
13,evidence_topk_1,chunk_evidence,0.41025641025641024,0.45925925925925926,16,39,37,2,0,Chunk-evidence assigner; top_k_chunks=1.
14,evidence_alpha_0_50,chunk_evidence,0.38461538461538464,0.4469507101086048,15,39,36,2,1,Chunk-evidence assigner; alpha=0.5.
15,hierarchical_alpha_1_0,hierarchical_embeddings,0.358974358974359,0.38186375028480285,14,39,29,0,9,Whole-document hierarchical assigner; alpha=1.0.
16,baseline_keyword,baseline,0.28205128205128205,0.34358974358974353,11,39,38,0,1,Rule-based keyword baseline.
17,hierarchical_alpha_0_0,hierarchical_embeddings,0.2564102564102564,0.3476301476301476,10,39,38,0,1,Whole-document hierarchical assigner; alpha=0.0.
