type,variation,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,compact,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
CREDIT_CARD,masked,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,partial,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,spaced,0.0000,0.0000,0.0000,0,0,11,0.0000,0.0000,0.0000,0,0,11
DATE,day_first_text,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,iso,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,month_year,0.0000,0.0000,0.0000,0,0,15,0.0000,0.0000,0.0000,0,0,15
DATE,no_year,0.0000,0.0000,0.0000,0,0,5,0.0000,0.0000,0.0000,0,0,5
DATE,noisy,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
DATE,short_year,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
DATE,slash,0.0000,0.0000,0.0000,0,0,14,0.0000,0.0000,0.0000,0,0,14
DATE,slash-separated,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,textual,0.0000,0.0000,0.0000,0,0,52,0.0000,0.0000,0.0000,0,0,52
EMAIL,case_variation,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
EMAIL,different_tld,0.0000,0.0000,0.0000,0,0,5,0.0000,0.0000,0.0000,0,0,5
EMAIL,noisy,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
EMAIL,plus_alias,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
EMAIL,punctuation_variant,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
EMAIL,standard,0.0000,0.0000,0.0000,0,0,74,0.0000,0.0000,0.0000,0,0,74
EMAIL,subdomain,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
IBAN,compact,0.0000,0.0000,0.0000,0,0,19,0.0000,0.0000,0.0000,0,0,19
IBAN,hyphenated,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
IBAN,spaced,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
LOCATION,abbreviated,1.0000,0.7500,0.8571,3,0,1,1.0000,0.7500,0.8571,3,0,1
LOCATION,generic_location,1.0000,0.9326,0.9651,83,0,6,1.0000,0.9326,0.9651,83,0,6
LOCATION,lower_cased,1.0000,0.5455,0.7059,6,0,5,1.0000,0.5455,0.7059,6,0,5
LOCATION,noise,0.0000,0.0000,0.0000,0,0,1,1.0000,1.0000,1.0000,1,0,0
LOCATION,open_address,1.0000,0.8158,0.8986,31,0,7,1.0000,0.9737,0.9867,37,0,1
LOCATION,unknown,0.0000,0.0000,0.0000,0,22,0,0.0000,0.0000,0.0000,0,5,0
ORG,abbreviated,1.0000,0.8333,0.9091,10,0,2,1.0000,0.8333,0.9091,10,0,2
ORG,full_name,1.0000,0.9500,0.9744,76,0,4,1.0000,0.9750,0.9873,78,0,2
ORG,lower_cased,1.0000,0.5000,0.6667,2,0,2,1.0000,0.5000,0.6667,2,0,2
ORG,noisy,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
ORG,unknown,0.0000,0.0000,0.0000,0,44,0,0.0000,0.0000,0.0000,0,42,0
PERSON,Hyphenated / special punctuation,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000,6,0,0
PERSON,abbreviated,1.0000,0.8857,0.9394,62,0,8,1.0000,0.9000,0.9474,63,0,7
PERSON,full_name,1.0000,0.9146,0.9554,75,0,7,1.0000,0.9146,0.9554,75,0,7
PERSON,initial_lastname,1.0000,0.2500,0.4000,1,0,3,1.0000,0.7500,0.8571,3,0,1
PERSON,lower_cased,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
PERSON,lowercased,1.0000,0.7674,0.8684,33,0,10,1.0000,0.8372,0.9114,36,0,7
PERSON,noisy,1.0000,0.3333,0.5000,1,0,2,1.0000,0.6667,0.8000,2,0,1
PERSON,partial_name,1.0000,0.8421,0.9143,32,0,6,1.0000,0.8421,0.9143,32,0,6
PERSON,title_form,1.0000,0.8750,0.9333,7,0,1,1.0000,1.0000,1.0000,8,0,0
PERSON,unknown,0.0000,0.0000,0.0000,0,13,0,0.0000,0.0000,0.0000,0,3,0
PHONE,hyphenated,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,international_compact,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
PHONE,international_no_plus,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,international_plus,0.0000,0.0000,0.0000,0,0,25,0.0000,0.0000,0.0000,0,0,25
PHONE,local_spaced,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,parentheses,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,standard,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
