type,variation,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,compact,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
CREDIT_CARD,masked,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,partial,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000,1,0,2
CREDIT_CARD,spaced,1.0000,0.1818,0.3077,2,0,9,1.0000,0.1818,0.3077,2,0,9
CREDIT_CARD,unknown,0.0000,0.0000,0.0000,0,2,0,0.0000,0.0000,0.0000,0,2,0
DATE,day_first_text,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,iso,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,month_year,1.0000,0.8667,0.9286,13,0,2,1.0000,1.0000,1.0000,15,0,0
DATE,no_year,1.0000,0.6000,0.7500,3,0,2,1.0000,0.6000,0.7500,3,0,2
DATE,noisy,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
DATE,short_year,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
DATE,slash,1.0000,1.0000,1.0000,14,0,0,1.0000,1.0000,1.0000,14,0,0
DATE,slash-separated,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,textual,1.0000,1.0000,1.0000,52,0,0,1.0000,1.0000,1.0000,52,0,0
DATE,unknown,0.0000,0.0000,0.0000,0,26,0,0.0000,0.0000,0.0000,0,24,0
EMAIL,case_variation,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
EMAIL,different_tld,0.0000,0.0000,0.0000,0,0,5,0.0000,0.0000,0.0000,0,0,5
EMAIL,noisy,1.0000,0.3333,0.5000,1,0,2,1.0000,0.6667,0.8000,2,0,1
EMAIL,plus_alias,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
EMAIL,punctuation_variant,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
EMAIL,standard,1.0000,0.0811,0.1500,6,0,68,1.0000,0.1216,0.2169,9,0,65
EMAIL,subdomain,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
EMAIL,unknown,0.0000,0.0000,0.0000,0,23,0,0.0000,0.0000,0.0000,0,19,0
IBAN,compact,1.0000,0.9474,0.9730,18,0,1,1.0000,0.9474,0.9730,18,0,1
IBAN,hyphenated,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
IBAN,spaced,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
IBAN,unknown,0.0000,0.0000,0.0000,0,37,0,0.0000,0.0000,0.0000,0,37,0
LOCATION,abbreviated,1.0000,0.7500,0.8571,3,0,1,1.0000,0.7500,0.8571,3,0,1
LOCATION,generic_location,1.0000,0.8427,0.9146,75,0,14,1.0000,0.8539,0.9212,76,0,13
LOCATION,lower_cased,1.0000,0.8182,0.9000,9,0,2,1.0000,0.8182,0.9000,9,0,2
LOCATION,noise,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
LOCATION,open_address,1.0000,0.7105,0.8308,27,0,11,1.0000,1.0000,1.0000,38,0,0
LOCATION,unknown,0.0000,0.0000,0.0000,0,39,0,0.0000,0.0000,0.0000,0,10,0
ORG,abbreviated,1.0000,0.6667,0.8000,8,0,4,1.0000,0.6667,0.8000,8,0,4
ORG,full_name,1.0000,1.0000,1.0000,80,0,0,1.0000,1.0000,1.0000,80,0,0
ORG,lower_cased,1.0000,0.5000,0.6667,2,0,2,1.0000,0.5000,0.6667,2,0,2
ORG,noisy,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
ORG,unknown,0.0000,0.0000,0.0000,0,73,0,0.0000,0.0000,0.0000,0,72,0
PERSON,Hyphenated / special punctuation,1.0000,1.0000,1.0000,6,0,0,1.0000,1.0000,1.0000,6,0,0
PERSON,abbreviated,1.0000,0.9143,0.9552,64,0,6,1.0000,0.9143,0.9552,64,0,6
PERSON,full_name,1.0000,0.9512,0.9750,78,0,4,1.0000,0.9512,0.9750,78,0,4
PERSON,initial_lastname,1.0000,0.7500,0.8571,3,0,1,1.0000,1.0000,1.0000,4,0,0
PERSON,lower_cased,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
PERSON,lowercased,1.0000,0.9535,0.9762,41,0,2,1.0000,0.9767,0.9882,42,0,1
PERSON,noisy,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
PERSON,partial_name,1.0000,0.7632,0.8657,29,0,9,1.0000,0.7632,0.8657,29,0,9
PERSON,title_form,1.0000,1.0000,1.0000,8,0,0,1.0000,1.0000,1.0000,8,0,0
PERSON,unknown,0.0000,0.0000,0.0000,0,93,0,0.0000,0.0000,0.0000,0,91,0
PHONE,hyphenated,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000,1,0,2
PHONE,international_compact,1.0000,0.5000,0.6667,1,0,1,1.0000,0.5000,0.6667,1,0,1
PHONE,international_no_plus,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
PHONE,international_plus,1.0000,0.6400,0.7805,16,0,9,1.0000,0.6400,0.7805,16,0,9
PHONE,local_spaced,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000,2,0,1
PHONE,parentheses,1.0000,0.3333,0.5000,1,0,2,1.0000,0.3333,0.5000,1,0,2
PHONE,standard,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
PHONE,unknown,0.0000,0.0000,0.0000,0,13,0,0.0000,0.0000,0.0000,0,13,0
