type,variation,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,compact,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
CREDIT_CARD,masked,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,partial,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,spaced,1.0000,1.0000,1.0000,11,0,0,1.0000,1.0000,1.0000,11,0,0
CREDIT_CARD,unknown,0.0000,0.0000,0.0000,0,22,0,0.0000,0.0000,0.0000,0,22,0
DATE,day_first_text,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,iso,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,month_year,1.0000,0.6667,0.8000,10,0,5,1.0000,0.8000,0.8889,12,0,3
DATE,no_year,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000,5,0,0
DATE,noisy,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
DATE,short_year,1.0000,0.7500,0.8571,3,0,1,1.0000,1.0000,1.0000,4,0,0
DATE,slash,1.0000,1.0000,1.0000,14,0,0,1.0000,1.0000,1.0000,14,0,0
DATE,slash-separated,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,textual,1.0000,0.9808,0.9903,51,0,1,1.0000,1.0000,1.0000,52,0,0
DATE,unknown,0.0000,0.0000,0.0000,0,16,0,0.0000,0.0000,0.0000,0,12,0
EMAIL,case_variation,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
EMAIL,different_tld,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000,5,0,0
EMAIL,noisy,1.0000,0.3333,0.5000,1,0,2,1.0000,0.6667,0.8000,2,0,1
EMAIL,plus_alias,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
EMAIL,punctuation_variant,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
EMAIL,standard,1.0000,1.0000,1.0000,74,0,0,1.0000,1.0000,1.0000,74,0,0
EMAIL,subdomain,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
EMAIL,unknown,0.0000,0.0000,0.0000,0,8,0,0.0000,0.0000,0.0000,0,7,0
IBAN,compact,1.0000,1.0000,1.0000,19,0,0,1.0000,1.0000,1.0000,19,0,0
IBAN,hyphenated,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
IBAN,spaced,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
IBAN,unknown,0.0000,0.0000,0.0000,0,2,0,0.0000,0.0000,0.0000,0,2,0
LOCATION,abbreviated,1.0000,0.2500,0.4000,1,0,3,1.0000,0.2500,0.4000,1,0,3
LOCATION,generic_location,1.0000,0.8315,0.9080,74,0,15,1.0000,0.8315,0.9080,74,0,15
LOCATION,lower_cased,1.0000,0.8182,0.9000,9,0,2,1.0000,0.8182,0.9000,9,0,2
LOCATION,noise,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
LOCATION,open_address,0.0000,0.0000,0.0000,0,0,38,1.0000,0.8158,0.8986,31,0,7
LOCATION,unknown,0.0000,0.0000,0.0000,0,87,0,0.0000,0.0000,0.0000,0,22,0
ORG,abbreviated,1.0000,0.7500,0.8571,9,0,3,1.0000,0.7500,0.8571,9,0,3
ORG,full_name,1.0000,0.8875,0.9404,71,0,9,1.0000,0.9125,0.9542,73,0,7
ORG,lower_cased,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
ORG,noisy,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
ORG,unknown,0.0000,0.0000,0.0000,0,108,0,0.0000,0.0000,0.0000,0,106,0
PERSON,Hyphenated / special punctuation,1.0000,0.6667,0.8000,4,0,2,1.0000,1.0000,1.0000,6,0,0
PERSON,abbreviated,1.0000,0.6286,0.7719,44,0,26,1.0000,0.6429,0.7826,45,0,25
PERSON,full_name,1.0000,0.9146,0.9554,75,0,7,1.0000,0.9390,0.9686,77,0,5
PERSON,initial_lastname,1.0000,0.2500,0.4000,1,0,3,1.0000,0.7500,0.8571,3,0,1
PERSON,lower_cased,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
PERSON,lowercased,1.0000,0.4651,0.6349,20,0,23,1.0000,0.5116,0.6769,22,0,21
PERSON,noisy,0.0000,0.0000,0.0000,0,0,3,1.0000,1.0000,1.0000,3,0,0
PERSON,partial_name,1.0000,0.3158,0.4800,12,0,26,1.0000,0.3158,0.4800,12,0,26
PERSON,title_form,0.0000,0.0000,0.0000,0,0,8,1.0000,0.7500,0.8571,6,0,2
PERSON,unknown,0.0000,0.0000,0.0000,0,39,0,0.0000,0.0000,0.0000,0,24,0
PHONE,hyphenated,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
PHONE,international_compact,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
PHONE,international_no_plus,1.0000,0.3333,0.5000,1,0,2,1.0000,0.6667,0.8000,2,0,1
PHONE,international_plus,1.0000,0.6800,0.8095,17,0,8,1.0000,0.7600,0.8636,19,0,6
PHONE,local_spaced,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000,2,0,1
PHONE,parentheses,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000,2,0,1
PHONE,standard,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
PHONE,unknown,0.0000,0.0000,0.0000,0,36,0,0.0000,0.0000,0.0000,0,33,0
