type,variation,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,compact,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
CREDIT_CARD,masked,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,partial,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,spaced,0.0000,0.0000,0.0000,0,0,11,0.0000,0.0000,0.0000,0,0,11
DATE,day_first_text,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,iso,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,month_year,0.0000,0.0000,0.0000,0,0,15,0.0000,0.0000,0.0000,0,0,15
DATE,no_year,0.0000,0.0000,0.0000,0,0,5,0.0000,0.0000,0.0000,0,0,5
DATE,noisy,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
DATE,short_year,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
DATE,slash,0.0000,0.0000,0.0000,0,0,14,0.0000,0.0000,0.0000,0,0,14
DATE,slash-separated,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,textual,0.0000,0.0000,0.0000,0,0,52,0.0000,0.0000,0.0000,0,0,52
EMAIL,case_variation,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
EMAIL,different_tld,0.0000,0.0000,0.0000,0,0,5,0.0000,0.0000,0.0000,0,0,5
EMAIL,noisy,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
EMAIL,plus_alias,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
EMAIL,punctuation_variant,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
EMAIL,standard,0.0000,0.0000,0.0000,0,0,74,0.0000,0.0000,0.0000,0,0,74
EMAIL,subdomain,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
IBAN,compact,0.0000,0.0000,0.0000,0,0,19,0.0000,0.0000,0.0000,0,0,19
IBAN,hyphenated,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
IBAN,spaced,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
LOCATION,abbreviated,1.0000,0.7500,0.8571,3,0,1,1.0000,0.7500,0.8571,3,0,1
LOCATION,generic_location,1.0000,0.6292,0.7724,56,0,33,1.0000,0.7191,0.8366,64,0,25
LOCATION,lower_cased,1.0000,0.4545,0.6250,5,0,6,1.0000,0.4545,0.6250,5,0,6
LOCATION,noise,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
LOCATION,open_address,0.0000,0.0000,0.0000,0,0,38,1.0000,0.8158,0.8986,31,0,7
LOCATION,unknown,0.0000,0.0000,0.0000,0,94,0,0.0000,0.0000,0.0000,0,55,0
ORG,abbreviated,1.0000,0.4167,0.5882,5,0,7,1.0000,0.5833,0.7368,7,0,5
ORG,full_name,1.0000,0.7375,0.8489,59,0,21,1.0000,0.8750,0.9333,70,0,10
ORG,lower_cased,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
ORG,noisy,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
ORG,unknown,0.0000,0.0000,0.0000,0,177,0,0.0000,0.0000,0.0000,0,164,0
PERSON,Hyphenated / special punctuation,1.0000,0.3333,0.5000,2,0,4,1.0000,0.3333,0.5000,2,0,4
PERSON,abbreviated,1.0000,0.4571,0.6275,32,0,38,1.0000,0.5286,0.6916,37,0,33
PERSON,full_name,1.0000,0.7683,0.8690,63,0,19,1.0000,0.8293,0.9067,68,0,14
PERSON,initial_lastname,0.0000,0.0000,0.0000,0,0,4,1.0000,0.2500,0.4000,1,0,3
PERSON,lower_cased,1.0000,0.5000,0.6667,2,0,2,1.0000,0.5000,0.6667,2,0,2
PERSON,lowercased,1.0000,0.1395,0.2449,6,0,37,1.0000,0.1395,0.2449,6,0,37
PERSON,noisy,0.0000,0.0000,0.0000,0,0,3,1.0000,1.0000,1.0000,3,0,0
PERSON,partial_name,1.0000,0.4211,0.5926,16,0,22,1.0000,0.4211,0.5926,16,0,22
PERSON,title_form,0.0000,0.0000,0.0000,0,0,8,1.0000,1.0000,1.0000,8,0,0
PERSON,unknown,0.0000,0.0000,0.0000,0,57,0,0.0000,0.0000,0.0000,0,36,0
PHONE,hyphenated,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,international_compact,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
PHONE,international_no_plus,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,international_plus,0.0000,0.0000,0.0000,0,0,25,0.0000,0.0000,0.0000,0,0,25
PHONE,local_spaced,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,parentheses,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PHONE,standard,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
