type,variation,strict_precision,strict_recall,strict_f1,strict_tp,strict_fp,strict_fn,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_tp,relaxed_fp,relaxed_fn
CREDIT_CARD,compact,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
CREDIT_CARD,masked,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,partial,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
CREDIT_CARD,spaced,1.0000,1.0000,1.0000,11,0,0,1.0000,1.0000,1.0000,11,0,0
CREDIT_CARD,unknown,0.0000,0.0000,0.0000,0,6,0,0.0000,0.0000,0.0000,0,6,0
DATE,day_first_text,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,iso,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
DATE,month_year,1.0000,0.6667,0.8000,10,0,5,1.0000,0.8000,0.8889,12,0,3
DATE,no_year,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000,5,0,0
DATE,noisy,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
DATE,short_year,1.0000,0.7500,0.8571,3,0,1,1.0000,1.0000,1.0000,4,0,0
DATE,slash,1.0000,1.0000,1.0000,14,0,0,1.0000,1.0000,1.0000,14,0,0
DATE,slash-separated,0.0000,0.0000,0.0000,0,0,2,0.0000,0.0000,0.0000,0,0,2
DATE,textual,1.0000,0.9808,0.9903,51,0,1,1.0000,1.0000,1.0000,52,0,0
DATE,unknown,0.0000,0.0000,0.0000,0,16,0,0.0000,0.0000,0.0000,0,12,0
EMAIL,case_variation,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
EMAIL,different_tld,1.0000,1.0000,1.0000,5,0,0,1.0000,1.0000,1.0000,5,0,0
EMAIL,noisy,1.0000,0.3333,0.5000,1,0,2,1.0000,0.6667,0.8000,2,0,1
EMAIL,plus_alias,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
EMAIL,punctuation_variant,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
EMAIL,standard,1.0000,1.0000,1.0000,74,0,0,1.0000,1.0000,1.0000,74,0,0
EMAIL,subdomain,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
EMAIL,unknown,0.0000,0.0000,0.0000,0,8,0,0.0000,0.0000,0.0000,0,7,0
IBAN,compact,1.0000,1.0000,1.0000,19,0,0,1.0000,1.0000,1.0000,19,0,0
IBAN,hyphenated,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
IBAN,spaced,1.0000,1.0000,1.0000,4,0,0,1.0000,1.0000,1.0000,4,0,0
IBAN,unknown,0.0000,0.0000,0.0000,0,2,0,0.0000,0.0000,0.0000,0,2,0
LOCATION,abbreviated,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
LOCATION,generic_location,0.0000,0.0000,0.0000,0,0,89,0.0000,0.0000,0.0000,0,0,89
LOCATION,lower_cased,0.0000,0.0000,0.0000,0,0,11,0.0000,0.0000,0.0000,0,0,11
LOCATION,noise,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
LOCATION,open_address,0.0000,0.0000,0.0000,0,0,38,0.0000,0.0000,0.0000,0,0,38
ORG,abbreviated,0.0000,0.0000,0.0000,0,0,12,0.0000,0.0000,0.0000,0,0,12
ORG,full_name,0.0000,0.0000,0.0000,0,0,80,0.0000,0.0000,0.0000,0,0,80
ORG,lower_cased,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
ORG,noisy,0.0000,0.0000,0.0000,0,0,1,0.0000,0.0000,0.0000,0,0,1
PERSON,Hyphenated / special punctuation,0.0000,0.0000,0.0000,0,0,6,0.0000,0.0000,0.0000,0,0,6
PERSON,abbreviated,0.0000,0.0000,0.0000,0,0,70,0.0000,0.0000,0.0000,0,0,70
PERSON,full_name,0.0000,0.0000,0.0000,0,0,82,0.0000,0.0000,0.0000,0,0,82
PERSON,initial_lastname,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
PERSON,lower_cased,0.0000,0.0000,0.0000,0,0,4,0.0000,0.0000,0.0000,0,0,4
PERSON,lowercased,0.0000,0.0000,0.0000,0,0,43,0.0000,0.0000,0.0000,0,0,43
PERSON,noisy,0.0000,0.0000,0.0000,0,0,3,0.0000,0.0000,0.0000,0,0,3
PERSON,partial_name,0.0000,0.0000,0.0000,0,0,38,0.0000,0.0000,0.0000,0,0,38
PERSON,title_form,0.0000,0.0000,0.0000,0,0,8,0.0000,0.0000,0.0000,0,0,8
PHONE,hyphenated,1.0000,1.0000,1.0000,3,0,0,1.0000,1.0000,1.0000,3,0,0
PHONE,international_compact,1.0000,1.0000,1.0000,2,0,0,1.0000,1.0000,1.0000,2,0,0
PHONE,international_no_plus,1.0000,0.3333,0.5000,1,0,2,1.0000,0.6667,0.8000,2,0,1
PHONE,international_plus,1.0000,0.6800,0.8095,17,0,8,1.0000,0.7200,0.8372,18,0,7
PHONE,local_spaced,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000,2,0,1
PHONE,parentheses,1.0000,0.6667,0.8000,2,0,1,1.0000,0.6667,0.8000,2,0,1
PHONE,standard,1.0000,1.0000,1.0000,1,0,0,1.0000,1.0000,1.0000,1,0,0
PHONE,unknown,0.0000,0.0000,0.0000,0,9,0,0.0000,0.0000,0.0000,0,7,0
